,ad_creative_body,count
67,"THIS JUST IN: Kamala Harris is Joe Biden's running mate.

It's going to be President Trump and Vice President Pence on the ballot against two of our Nation's most RADICAL Democrats: Joe Biden and Kamala Harris. 

We know that Joe and Kamala don't stand a chance against President Trump and Vice President Pence, but we cannot ignore the fact that they are being FLOODED with Mega Donor money coming from ELITES who live on the COAST.

It's REAL Americans vs. SOCIALISTS, and President Trump is calling on you to step up and make a statement that AMERICA IS NOT FOR SALE.

Please contribute in the NEXT HOUR to FIGHT for President Trump and your gift will be 600%-MATCHED.>>>",4791
68,"🇺🇸 Help us hit 1 MILLION signatures! 🇺🇸

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",4784
69,"URGENT! President Trump's birthday is THIS SUNDAY, and he wants YOU to sign his card.

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",4765
70,"Election outcomes are controlled by people who show up. 

Your country needs you to show up. 

President Trump needs you to show up. Find your SECURE POLLING PLACE.",4740
71,Proudly support President Trump with the ONLY OFFICIAL Trump-Pence 2020 Flag!,4734
72,"WE JUST HEARD THE NEWS! 

President Obama held a MASSIVE fundraiser for Joe Biden. Liberal Mega-Donors, with their endless bank accounts, are already maxing out to Joe Biden.

I'm relying on grassroots donations from hard-working Patriots, like YOU, to lead us to victory this November. 

We need to send a message to the Party of the LIBERAL ELITES, who think they can buy their way into the White House.

We have a CRITICAL end-of-quarter deadline, and we MUST outraise Joe Biden and Barack Obama. ANY contribution made by 11:59PM will be QUADRUPLE MATCHED!",4724
73,"President Trump wants your input on our Official Justice Gorsuch and Justice Kavanaugh Approval Poll. Justice Gorsuch and Justice Kavanaugh are true constitutionalists and have been OUTSTANDING since the day they were confirmed - it’s driving Cryin’ Chuck mad.

President Trump has never cared what the Deranged Democrats think about his decisions as YOUR President, but he does draw the line when they openly THREATEN Supreme Court Justices. Let's show the Chuck and Nancy just how wrong they are about our GREAT Supreme Court Justices.",4709
74,"BREAKING NEWS: Kamala Harris is Joe Biden's running mate.

It's going to be President Trump and Vice President Pence on the ballot against two of our Nation's most RADICAL Democrats: Joe Biden and Kamala Harris.

We know that Joe and Kamala don't stand a chance against President Trump and Vice President Pence, but we cannot ignore the fact that they are being FLOODED with Mega Donor money coming from ELITES who live on the COAST.

It's REAL Americans vs. SOCIALISTS, and President Trump is calling on you to step up and make a statement that AMERICA IS NOT FOR SALE.

Please contribute in the NEXT HOUR to FIGHT for President Trump and your gift will be 600%-MATCHED.>>>",4704
75,"After rigging the nomination against Crazy Bernie, the Democrats called their MEGA HOLLYWOOD DONORS to bolster Sleepy Joe.

The Liberals are uniting behind their pathetic candidate to try and take me down, and more importantly, to take YOU down. 

We're halfway through May and we have a crucial goal coming up at the end of the month.

For the NEXT HOUR, all contributions made will be 5x MATCHED! Please contribute now.",4683
76,"The Do-Nothing Democrats' open border's agenda is morally reprehensible. It is a great betrayal of the America People and our Country as a whole. As your Commander-in-Chief, I must put the safety of Americans above everything else, and I promise you that will never change. I'm reviewing the FIRST 500 responses in my office later today, and I really want to hear from YOU. Please take the Official Secure the Border Survey NOW to make sure I see YOUR response.",4635
